segment,accident_year,earned_exposure,claim_count,incurred_loss,avg_severity
Personal Auto,2020,125000.5,1850,9250000,5000
Personal Auto,2021,128500.0,1720,9020000,5244
Personal Auto,2022,131200.0,1680,8890000,5292
Personal Auto,2023,133800.0,1595,8650000,5423
Commercial Auto,2020,42000.0,620,4100000,6613
Commercial Auto,2021,43500.0,590,3980000,6746
Commercial Auto,2022,44800.0,565,3850000,6814
Commercial Auto,2023,45200.0,540,3720000,6889
Homeowners,2020,89000.0,1120,7800000,6964
Homeowners,2021,90500.0,1080,7650000,7083
Homeowners,2022,91800.0,1040,7520000,7231
Homeowners,2023,93000.0,1010,7410000,7337
