calendar_year,state,line_of_business,earned_premium,incurred_loss,policy_count,exposure_units
2021,TX,Personal Auto,18500000,12200000,52000,61000
2021,TX,Commercial Auto,8200000,6400000,12000,14500
2021,CA,Personal Auto,22100000,15800000,68000,79000
2021,CA,Commercial Auto,9100000,7100000,14000,16800
2022,TX,Personal Auto,19200000,13100000,53500,62500
2022,TX,Commercial Auto,8600000,6900000,12300,15100
2022,CA,Personal Auto,22800000,16500000,69500,80500
2022,CA,Commercial Auto,9400000,7800000,14200,17100
2023,TX,Personal Auto,20100000,14200000,54800,63800
2023,TX,Commercial Auto,8900000,7200000,12500,15300
2023,CA,Personal Auto,23500000,17200000,71000,82000
2023,CA,Commercial Auto,9700000,8100000,14400,17300
